Year,Month,AIRT,U10,V10,W10,EVP,PCP,EMP,QSHORT,QLONG,QLAT,QSEN,QNET,SSH,SST,SSS,SSC,SLD
1993,1,299.62939453125,-2.8105297088623,-2.8105297088623,5.74061584472656,-0.00451097264885902,0.00777626037597656,-0.0122872330248356,17005568,-4599757,-11280672,-1061600,63539,0.342722861096263,28.3339640423656,33.6054566781968,1540.03520577226,24
1993,2,299.76220703125,-2.31283950805664,-2.31283950805664,4.22631454467773,-0.00367455556988716,0.00265693664550781,-0.00633149221539497,21648384,-5008797,-9189024,-827632,6622931,0.310983611270785,28.5075533241034,33.501693746075,1540.29422227635,20
1993,3,299.8369140625,-1.42125701904297,-1.42125701904297,3.36183857917786,-0.00315405055880547,0.00510692596435547,-0.00826097652316093,19638150,-4400394,-7888224,-863888,6485644,0.340281380340457,28.9089327603579,33.6283455602825,1541.30100545877,19
1993,4,300.608642578125,0.767210960388184,0.767210960388184,2.60044384002686,-0.00296450033783913,0.00298690795898438,-0.0059514082968235,21630976,-4683002,-7413968,-784208,8749798,0.429395427927375,29.9475386738777,33.7244788650423,1543.59667890826,15
1993,5,300.681884765625,3.05010795593262,3.05010795593262,4.44169425964355,-0.00362293049693108,0.00864601135253906,-0.0122689418494701,17387008,-3887125,-9059984,-978231,3461668,0.534073915332556,29.7541733980179,33.2895901054144,1542.70538942055,32
1993,6,300.652099609375,4.53025150299072,4.53025150299072,6.07331228256226,-0.00431388989090919,0.00699615478515625,-0.0113100446760654,17449472,-4188545,-10787984,-919374,1553569,0.524307992309332,28.9118625372648,33.5108492989093,1541.17449537452,55
1993,7,300.535888671875,6.05663681030273,6.05663681030273,7.76656723022461,-0.00557917356491089,0.00614356994628906,-0.0117227435112,16929280,-4176565,-13952224,-1119678,-2319187,0.487685780972242,28.6291390657425,33.400982664898,1540.44293782687,58
1993,8,300.10302734375,4.60546684265137,4.60546684265137,6.60558605194092,-0.00426068902015686,0.00382614135742188,-0.00808683037757874,19661312,-4225145,-10655248,-773700,4007219,0.52156132645905,28.3764458075166,33.5764640942216,1540.09466688176,57
1993,9,299.9375,3.36444187164307,3.36444187164307,5.35707235336304,-0.0039764866232872,0.00525856018066406,-0.00923504680395126,17944092,-3944259,-9944416,-927659,3127758,0.453199865296483,28.4189275726676,33.3429974969476,1539.92235587412,47
1993,10,299.652587890625,3.24634647369385,3.24634647369385,4.71954536437988,-0.00323418900370598,0.00802993774414062,-0.0112641267478466,18573824,-3933645,-8087840,-832012,5720327,0.508133182302117,28.5573595315218,33.3780937828124,1540.26201176532,52
1993,11,299.438720703125,1.4529972076416,1.4529972076416,3.94127988815308,-0.00310693681240082,0.0150794982910156,-0.0181864351034164,13634560,-3456464,-7769584,-1015568,1392944,0.492568742483854,28.7111728191376,33.275856776163,1540.47818735832,35
1993,12,299.4482421875,-0.348134994506836,-0.348134994506836,3.275470495224,-0.00281092897057533,0.00729942321777344,-0.0101103521883488,16653312,-4053232,-7029808,-880384,4689888,0.481276893988252,28.3969542458653,33.558152988553,1540.11844757195,65
1994,1,299.741943359375,-3.18485546112061,-3.18485546112061,4.63596200942993,-0.00361882522702217,0.00531196594238281,-0.00893079116940498,17697792,-4285283,-9050464,-873216,3488829,0.449232459068298,28.6884670481086,33.6573381442577,1540.86085979535,46
1994,2,299.793701171875,-0.668524742126465,-0.668524742126465,3.21017861366272,-0.00291790813207626,0.00647068023681641,-0.00938858836889267,17721856,-4013152,-7297056,-820448,5591200,0.34577471204102,28.826166562736,33.3948789630085,1540.85987546935,21
1994,3,300.07275390625,0.296738624572754,0.296738624572754,3.82568979263306,-0.00341741740703583,0.00501823425292969,-0.00843565165996552,17867636,-4090520,-8546608,-947088,4283420,0.382702108472586,29.0766624882817,33.7290566414595,1541.77251605386,24
1994,4,300.344970703125,1.66073131561279,1.66073131561279,3.76380634307861,-0.00367792323231697,0.00828170776367188,-0.0119596309959888,19422208,-4270696,-9198176,-1175719,4777617,0.410168766975403,29.1967833414674,33.3140049129725,1541.559359411,29
1994,5,300.59521484375,2.77174758911133,2.77174758911133,4.62369537353516,-0.00342427939176559,0.00572776794433594,-0.00915204733610153,17944576,-3811937,-8563584,-779444,4789611,0.466017639264464,29.1425824686885,33.9899898972362,1542.20721565342,42
1994,6,300.7861328125,3.11111450195312,3.11111450195312,6.19127082824707,-0.00435250997543335,0.0052490234375,-0.00960153341293335,18044416,-3941112,-10884928,-807457,2410919,0.478225043043494,28.780755020678,32.9065828118473,1540.21050773411,54
1994,7,300.390625,1.74506282806396,1.74506282806396,6.48960876464844,-0.00421490147709846,0.0037841796875,-0.00799908116459846,19185152,-4121408,-10540160,-726628,3796956,0.488296151161194,28.6789452731609,32.973723532632,1540.0670971789,61
1994,8,299.96240234375,1.15538215637207,1.15538215637207,5.8266429901123,-0.00392086803913116,0.00417900085449219,-0.00809986889362335,18411008,-3853696,-9805024,-744856,4007432,0.404065065085888,28.292947165668,32.9309976194054,1539.18138853793,36
1994,9,299.84619140625,0.990259170532227,0.990259170532227,5.23415374755859,-0.00381733477115631,0.00445175170898438,-0.00826908648014069,19207676,-4072597,-9546336,-724400,4864343,0.396435437723994,28.3097933828831,32.7692495193332,1539.0348890422,39
1994,10,299.08837890625,-0.270236968994141,-0.270236968994141,3.06126356124878,-0.00276917964220047,0.00924301147460938,-0.0120121911168098,16665088,-3831191,-6924944,-943462,4965491,0.407727286219597,28.2988067194819,32.5571458786726,1538.77066319136,36
1994,11,299.315185546875,-1.12463092803955,-1.12463092803955,3.27418112754822,-0.00267794355750084,0.0108451843261719,-0.0135231278836727,16044032,-3702496,-6696288,-857568,4787680,0.373851740732789,28.5859248563647,33.0927457194775,1540.00083594745,28
1994,12,299.798828125,-2.07482051849365,-2.07482051849365,3.8448486328125,-0.00358946621417999,0.00551795959472656,-0.00910742580890656,18366464,-4702496,-8976624,-1059184,3628160,0.408642841503024,28.9147923141718,33.8633380830288,1541.57914447202,24
1995,1,299.672607421875,-3.35141563415527,-3.35141563415527,4.85319137573242,-0.00378250330686569,0.00897216796875,-0.0127546712756157,17324544,-4069488,-9459488,-1079072,2716496,0.303353983908892,28.3661915883422,32.8485976438969,1539.24768959063,21
1995,2,300.089599609375,-3.66978931427002,-3.66978931427002,5.12387752532959,-0.00400068983435631,0.00544834136962891,-0.00944903120398521,18729984,-4230528,-10005008,-861584,3632864,0.335398418828845,29.0598162710667,34.4920193776488,1542.59879798705,27
1995,3,300.2509765625,-1.31284332275391,-1.31284332275391,3.14443111419678,-0.00294281914830208,0.00412654876708984,-0.00706936791539192,19790432,-4271348,-7359984,-704864,7454236,0.385753959417343,29.4948881417513,34.4004638493061,1543.41361189214,27
